2019-06-13 10:25:55 EXEC SPC_COM_MENU '1';
2019-06-13 10:29:40 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 10:29:40 EXEC SPC_COM_MENU '1';
2019-06-13 10:29:40 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 10:29:40 EXEC SPC_COM_MENU '1';
2019-06-13 10:29:43 EXEC SPC_COM_MENU '1';
2019-06-13 10:29:49 EXEC SPC_COM_MENU '1';
2019-06-13 10:30:08 EXEC SPC_COM_MENU '1';
2019-06-13 10:55:47 EXEC SPC_COM_MENU '1';
2019-06-13 10:55:56 EXEC SPC_COM_MENU '1';
2019-06-13 10:58:04 EXEC SPC_COM_MENU '1';
2019-06-13 10:58:14 EXEC SPC_COM_MENU '1';
2019-06-13 10:58:48 EXEC SPC_COM_MENU '1';
2019-06-13 11:00:53 EXEC SPC_COM_MENU '1';
2019-06-13 12:09:42 EXEC SPC_COM_DATA '1','1','2';
2019-06-13 12:09:42 EXEC SPC_COM_MENU '1';
2019-06-13 13:23:04 EXEC SPC_COM_PERMISSION '1','2','g001';
2019-06-13 13:23:04 EXEC SPC_COM_MENU '1';
2019-06-13 13:23:04 EXEC SPC_G001_LST1 '1','1';
2019-06-13 13:23:13 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 13:23:13 EXEC SPC_COM_MENU '1';
2019-06-13 13:23:14 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 13:23:14 EXEC SPC_COM_MENU '1';
2019-06-13 13:23:30 EXEC SPC_COM_MENU '1';
2019-06-13 13:30:12 EXEC SPC_COM_MENU '1';
2019-06-13 13:31:59 EXEC SPC_COM_MENU '1';
2019-06-13 13:32:04 EXEC SPC_COM_MENU '1';
2019-06-13 13:33:11 EXEC SPC_COM_MENU '1';
2019-06-13 15:03:21 EXEC SPC_COM_DATA '1','1','2';
2019-06-13 15:03:23 EXEC SPC_COM_MENU '1';
2019-06-13 15:14:19 EXEC SPC_COM_PERMISSION '1','2','g001';
2019-06-13 15:14:19 EXEC SPC_COM_MENU '1';
2019-06-13 15:14:19 EXEC SPC_G001_LST1 '1','1';
2019-06-13 15:14:29 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 15:14:29 EXEC SPC_COM_MENU '1';
2019-06-13 15:14:29 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 15:14:29 EXEC SPC_COM_MENU '1';
2019-06-13 15:14:36 EXEC SPC_COM_MENU '1';
2019-06-13 15:14:39 EXEC SPC_COM_MENU '1';
2019-06-13 15:18:32 EXEC SPC_COM_MENU '1';
2019-06-13 15:25:18 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 15:25:18 EXEC SPC_COM_MENU '1';
2019-06-13 15:25:18 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 15:25:18 EXEC SPC_COM_MENU '1';
2019-06-13 15:25:21 EXEC SPC_COM_MENU '1';
2019-06-13 15:25:26 EXEC SPC_COM_MENU '1';
2019-06-13 15:25:56 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 15:25:56 EXEC SPC_COM_MENU '1';
2019-06-13 15:25:56 EXEC SPC_COM_PERMISSION '1','2','v003';
