2018-09-14 02:25:41 EXEC SPC_COM_PERMISSION '1','1','g001';
2018-09-14 02:25:58 EXEC SPC_COM_DATA '','','';
2018-09-14 02:26:02 EXEC SPC_COM_DATA '','','';
2018-09-14 02:26:02 EXEC SPC_TRANSLATE_LST1 '';
2018-09-14 02:26:38 EXEC SPC_COM_DATA '','','';
2018-09-14 02:28:23 EXEC SPC_COM_DATA '','','';
2018-09-14 02:28:23 EXEC SPC_TRANSLATE_LST1 '';
2018-09-14 02:28:59 EXEC SPC_COM_DATA '','','';
2018-09-14 02:28:59 EXEC SPC_TRANSLATE_LST1 '';
2018-09-14 02:29:31 EXEC SPC_COM_DATA '','','';
2018-09-14 02:29:31 EXEC SPC_TRANSLATE_LST1 '';
2018-09-14 02:29:55 EXEC SPC_COM_DATA '','','';
2018-09-14 02:29:55 EXEC SPC_TRANSLATE_LST1 '';
2018-09-14 02:30:27 EXEC SPC_COM_DATA '','','';
2018-09-14 02:30:27 EXEC SPC_TRANSLATE_LST3 'hello';
2018-09-14 02:30:28 EXEC SPC_COM_DATA '','','';
2018-09-14 02:30:28 EXEC SPC_TRANSLATE_LST2 'Hello','';
2018-09-14 02:32:41 EXEC SPC_COM_DATA '','','';
2018-09-14 02:32:41 EXEC SPC_TRANSLATE_LST1 '1';
2018-09-14 02:32:41 EXEC SPC_COM_DATA '','','';
2018-09-14 02:32:41 EXEC SPC_TRANSLATE_LST2 'Hello','';
2018-09-14 02:32:55 EXEC SPC_COM_DATA '','','';
2018-09-14 02:32:55 EXEC SPC_TRANSLATE_LST1 '1';
2018-09-14 02:32:55 EXEC SPC_COM_DATA '','','';
2018-09-14 02:32:55 EXEC SPC_TRANSLATE_LST2 'Hello','';
2018-09-14 02:32:58 EXEC SPC_COM_DATA '','','';
2018-09-14 02:32:58 EXEC SPC_TRANSLATE_LST3 'Hello';
2018-09-14 02:33:45 EXEC SPC_COM_DATA '','','';
2018-09-14 02:33:45 EXEC SPC_TRANSLATE_LST1 '1';
2018-09-14 02:33:46 EXEC SPC_COM_DATA '','','';
2018-09-14 02:33:46 EXEC SPC_TRANSLATE_LST2 'Hello','';
2018-09-14 02:34:38 EXEC SPC_COM_DATA '','','';
2018-09-14 02:34:38 EXEC SPC_TRANSLATE_LST1 '1';
2018-09-14 02:34:39 EXEC SPC_COM_DATA '','','';
2018-09-14 02:34:39 EXEC SPC_TRANSLATE_LST2 'Hello','';
2018-09-14 02:36:33 EXEC SPC_COM_DATA '','','';
2018-09-14 02:36:33 EXEC SPC_TRANSLATE_LST1 '1';
2018-09-14 02:36:34 EXEC SPC_COM_DATA '','','';
2018-09-14 02:36:34 EXEC SPC_TRANSLATE_LST2 'Hello','';
2018-09-14 02:37:16 EXEC SPC_COM_DATA '','','';
2018-09-14 02:37:16 EXEC SPC_TRANSLATE_LST1 '1';
2018-09-14 02:37:16 EXEC SPC_COM_DATA '','','';
2018-09-14 02:37:16 EXEC SPC_TRANSLATE_LST2 'Hello','';
2018-09-14 02:37:31 EXEC SPC_COM_DATA '','','';
2018-09-14 02:37:31 EXEC SPC_TRANSLATE_LST3 'Hello';
2018-09-14 02:37:38 EXEC SPC_COM_DATA '','','';
2018-09-14 02:37:38 EXEC SPC_TRANSLATE_LST3 'Hello';
2018-09-14 02:38:02 EXEC SPC_COM_DATA '','','';
2018-09-14 02:38:02 EXEC SPC_TRANSLATE_LST3 'Hello';
2018-09-14 02:38:04 EXEC SPC_COM_DATA '','','';
2018-09-14 02:38:04 EXEC SPC_TRANSLATE_LST1 '1';
2018-09-14 02:38:05 EXEC SPC_COM_DATA '','','';
2018-09-14 02:38:05 EXEC SPC_TRANSLATE_LST2 'Hello','';
2018-09-14 02:38:11 EXEC SPC_COM_DATA '','','';
2018-09-14 02:38:18 EXEC SPC_COM_DATA '','','';
2018-09-14 02:38:18 EXEC SPC_TRANSLATE_LST1 '';
2018-09-14 02:39:41 EXEC SPC_COM_DATA '','','';
2018-09-14 02:39:41 EXEC SPC_TRANSLATE_LST1 '';
2018-09-14 02:40:08 EXEC SPC_COM_DATA '','','';
2018-09-14 02:40:08 EXEC SPC_TRANSLATE_LST1 '';
2018-09-14 02:41:40 EXEC SPC_COM_DATA '','','';
2018-09-14 02:41:40 EXEC SPC_TRANSLATE_LST1 '';
2018-09-14 02:41:45 EXEC SPC_COM_DATA '','','';
2018-09-14 02:41:45 EXEC SPC_TRANSLATE_LST3 'hel';
2018-09-14 02:41:46 EXEC SPC_COM_DATA '','','';
2018-09-14 02:41:46 EXEC SPC_TRANSLATE_LST2 'Hello','';
2018-09-14 02:42:00 EXEC SPC_COM_DATA '','','';
2018-09-14 02:42:00 EXEC SPC_TRANSLATE_LST3 'Hello';
2018-09-14 02:42:03 EXEC SPC_COM_DATA '','','';
2018-09-14 02:42:03 EXEC SPC_TRANSLATE_LST1 '';
2018-09-14 02:42:09 EXEC SPC_COM_DATA '','','';
2018-09-14 02:42:09 EXEC SPC_TRANSLATE_LST3 'hel';
2018-09-14 02:42:10 EXEC SPC_COM_DATA '','','';
2018-09-14 02:42:10 EXEC SPC_TRANSLATE_LST2 'Hello','';
2018-09-14 02:42:22 EXEC SPC_COM_DATA '','','';
2018-09-14 02:42:22 EXEC SPC_TRANSLATE_LST3 'Hello';
2018-09-14 02:42:24 EXEC SPC_COM_DATA '','','';
2018-09-14 02:42:24 EXEC SPC_TRANSLATE_LST1 '';
2018-09-14 02:42:56 EXEC SPC_COM_DATA '','','';
2018-09-14 02:42:56 EXEC SPC_TRANSLATE_LST1 '';
2018-09-14 02:43:20 EXEC SPC_COM_DATA '','','';
2018-09-14 02:43:20 EXEC SPC_TRANSLATE_LST1 '';
2018-09-14 02:43:27 EXEC SPC_COM_DATA '','','';
2018-09-14 02:43:27 EXEC SPC_TRANSLATE_LST1 '';
2018-09-14 02:45:02 EXEC SPC_COM_DATA '','','';
2018-09-14 02:45:02 EXEC SPC_TRANSLATE_LST1 '';
2018-09-14 02:45:06 EXEC SPC_COM_DATA '','','';
2018-09-14 02:45:06 EXEC SPC_TRANSLATE_LST3 'hel';
2018-09-14 02:45:07 EXEC SPC_COM_DATA '','','';
2018-09-14 02:45:07 EXEC SPC_TRANSLATE_LST2 'Hello','';
2018-09-14 02:45:15 EXEC SPC_COM_DATA '','','';
2018-09-14 02:45:15 EXEC SPC_TRANSLATE_LST3 'Hello';
2018-09-14 02:45:18 EXEC SPC_COM_DATA '','','';
2018-09-14 02:45:18 EXEC SPC_TRANSLATE_LST2 'Hello','';
2018-09-14 02:45:18 EXEC SPC_COM_DATA '','','';
2018-09-14 02:45:18 EXEC SPC_TRANSLATE_LST3 'Hello';
2018-09-14 02:45:21 EXEC SPC_COM_DATA '','','';
2018-09-14 02:45:21 EXEC SPC_TRANSLATE_LST3 'Hello';
2018-09-14 02:45:46 EXEC SPC_COM_DATA '','','';
2018-09-14 02:45:46 EXEC SPC_TRANSLATE_LST3 'kin';
2018-09-14 02:45:47 EXEC SPC_COM_DATA '','','';
2018-09-14 02:45:47 EXEC SPC_TRANSLATE_LST2 'kingdom','';
2018-09-14 02:50:31 EXEC SPC_COM_DATA '','','';
2018-09-14 02:50:31 EXEC SPC_TRANSLATE_LST3 'kingdom';
2018-09-14 02:50:57 EXEC SPC_COM_DATA '','','';
2018-09-14 02:50:57 EXEC SPC_TRANSLATE_LST3 'kingdom';
2018-09-14 02:51:41 EXEC SPC_COM_DATA '','','';
2018-09-14 02:51:41 EXEC SPC_TRANSLATE_LST3 'kingdom';
2018-09-14 02:53:15 EXEC SPC_COM_DATA '','','';
2018-09-14 02:53:15 EXEC SPC_TRANSLATE_LST3 'kingdom';
2018-09-14 02:53:28 EXEC SPC_COM_DATA '','','';
2018-09-14 02:53:28 EXEC SPC_TRANSLATE_LST3 'kingdom';
2018-09-14 02:54:33 EXEC SPC_COM_DATA '','','';
2018-09-14 02:54:33 EXEC SPC_TRANSLATE_LST3 'kingdom';
2018-09-14 02:55:28 EXEC SPC_COM_DATA '','','';
2018-09-14 02:56:50 EXEC SPC_COM_DATA '','','';
2018-09-14 02:56:50 EXEC SPC_TRANSLATE_LST3 'kingdom';
2018-09-14 02:57:34 EXEC SPC_COM_DATA '','','';
2018-09-14 02:57:34 EXEC SPC_TRANSLATE_LST3 'kingdom';
2018-09-14 02:57:39 EXEC SPC_COM_DATA '','','';
2018-09-14 02:57:39 EXEC SPC_TRANSLATE_LST3 'kingdom';
2018-09-14 02:57:58 EXEC SPC_COM_DATA '','','';
2018-09-14 02:57:58 EXEC SPC_TRANSLATE_LST3 'kingdom';
2018-09-14 02:58:07 EXEC SPC_COM_DATA '','','';
2018-09-14 02:58:07 EXEC SPC_TRANSLATE_LST3 'kingdom';
2018-09-14 02:58:22 EXEC SPC_COM_DATA '','','';
2018-09-14 02:58:22 EXEC SPC_TRANSLATE_LST3 'kingdom';
2018-09-14 02:59:34 EXEC SPC_COM_DATA '','','';
2018-09-14 02:59:34 EXEC SPC_TRANSLATE_LST3 'kingdom';
2018-09-14 03:00:06 EXEC SPC_COM_DATA '','','';
2018-09-14 03:00:06 EXEC SPC_TRANSLATE_LST3 'kingdom';
2018-09-14 03:01:37 EXEC SPC_COM_DATA '','','';
2018-09-14 03:02:10 EXEC SPC_COM_DATA '','','';
2018-09-14 03:02:30 EXEC SPC_COM_DATA '','','';
2018-09-14 03:02:30 EXEC SPC_TRANSLATE_LST1 '3';
2018-09-14 03:02:31 EXEC SPC_COM_DATA '','','';
2018-09-14 03:02:31 EXEC SPC_TRANSLATE_LST2 'kingdom','';
2018-09-14 03:02:40 EXEC SPC_COM_DATA '','','';
2018-09-14 03:02:40 EXEC SPC_TRANSLATE_LST1 '3';
2018-09-14 03:02:41 EXEC SPC_COM_DATA '','','';
2018-09-14 03:02:41 EXEC SPC_TRANSLATE_LST2 'kingdom','';
2018-09-14 03:03:50 EXEC SPC_COM_DATA '','','';
2018-09-14 03:03:50 EXEC SPC_TRANSLATE_LST1 '3';
2018-09-14 03:03:51 EXEC SPC_COM_DATA '','','';
2018-09-14 03:03:51 EXEC SPC_TRANSLATE_LST2 'kingdom','';
2018-09-14 03:05:23 EXEC SPC_COM_DATA '','','';
2018-09-14 03:05:23 EXEC SPC_TRANSLATE_LST1 '3';
2018-09-14 03:05:24 EXEC SPC_COM_DATA '','','';
